type,step,isc
gradual_exp,2,4.1951723
gradual_exp,4,79.19088
gradual_exp,8,85.69145
gradual_linear,2,4.381501
gradual_linear,4,82.69865
gradual_linear,8,140.67921
iterative,2,5.1976285
iterative,4,87.84898
iterative,8,184.24352
naive,2,7.9783654
naive,4,126.61415
naive,8,198.43274
TSD,2,4.599183
TSD,2,4.534900665283203
TSD,4,61.33394241333008
TSD,8,180.4865264892578
original,2,3.6999428272247314
original,4,30.72478675842285
original,8,151.3330078125
original,16,189.646240234375
original,32,198.9659881591797
original,64,201.63990783691406
