model,type,step,fid,isc,kid
celeb,celeb_original,2,227.98,3.10,0.26
celeb,celeb_original,4,100.48,2.34,0.11
celeb,celeb_original,8,52.90,2.65,0.06
celeb,celeb_original,16,32.73,2.84,0.03
celeb,celeb_original,32,25.73,3.01,0.03
celeb,celeb_original,64,23.16,3.06,0.02
celeb,DSDGEXP,2,237.67,3.35,0.27
celeb,DSDGEXP,4,103.28,3.09,0.12
celeb,DSDGEXP,8,79.48,3.82,0.08
celeb,DSDGL,2,229.92,3.29,0.26
celeb,DSDGL,4,88.63,3.08,0.10
celeb,DSDGL,8,54.00,3.68,0.06
celeb,DSDI,2,216.47,3.19,0.25
celeb,DSDI,4,79.35,3.02,0.09
celeb,DSDI,8,42.62,3.43,0.05
celeb,DSDN,2,219.11,3.21,0.25
celeb,DSDN,4,81.25,2.93,0.09
celeb,DSDN,8,42.49,3.23,0.05
celeb,TSD,2,227.18,3.08,0.26
celeb,TSD,4,100.71,2.32,0.11
celeb,TSD,8,53.12,2.66,0.06
cin,cin_original,2,143.00,5.81,0.10
cin,cin_original,4,34.65,86.93,0.02
cin,cin_original,8,18.26,279.06,0.01
cin,cin_original,16,20.80,337.75,0.02
cin,cin_original,32,21.52,354.82,0.02
cin,cin_original,64,21.06,353.50,0.02
cin,DSDGEXP,2,131.90,6.99,0.10
cin,DSDGEXP,4,27.13,130.29,0.01
cin,DSDGEXP,8,25.11,136.60,0.01
cin,DSDGL,2,131.54,7.05,0.09
cin,DSDGL,4,23.90,152.90,0.01
cin,DSDGL,8,12.99,225.25,0.01
cin,DSDI,2,119.35,8.52,0.08
cin,DSDI,4,20.13,178.12,0.01
cin,DSDI,8,17.00,325.01,0.01
cin,DSDN,2,99.83,13.31,0.07
cin,DSDN,4,16.75,222.75,0.01
cin,DSDN,8,20.68,335.54,0.01
cin,TSD,2,129.16,7.41,0.09
cin,TSD,4,24.02,139.93,0.01
cin,TSD,8,17.96,313.31,0.01
